,number,title
1394,2379,Launcher should fail with a descriptive error message when the same TestPlan is executed twice
1408,810,UniqueId.parse fails for methods with array type parameters
1420,390,Regression: Extension must not be registered if already registered for parent context
1451,152,the spec failed because the path in args is OS dependent
1466,781,Static inner classes should be considered as a potential JUnit4 test classes
1468,1406,Unexpected behavior with inheritance and -Dtest with Surefire
1482,2251,Avoid inner class cycle detection for non-matching predicate
1494,1646,Set correct class loader in ForkJoinPoolHierarchicalTestExecutorService
1517,168,MethodInvoker.resolveParameters() must validate resolved parameter types
1520,1345,Annotation lookup on @Nested constructor parameter fails if test class is compiled with JDK 8
1530,2355,@ParameterizedTest does not fire any events in TestWatcher
1555,647,Support bridged methods
1559,702,Introduce junit-platform-console-standalone module
1564,978,Overridden interface default methods are not considered overridden
1567,997,Fix Gradle consumption of junit-jupiter-engine
1568,1313,Failures in lifecycle methods should take precedence over TestAbortedException
1573,1578,OutOfMemoryError in test suite when upgrading from JUnit 5.2 to 5.3
1575,1128,Difference between JUnit 4 and Jupiter when using rules and ExternalResourceSupport
1590,1714,"@ParameterizedTest name only supports String formatters (no numbers, etc) "
1598,743,Display names must not be allowed to be blank
1603,1647,Set context class loader parallel execution mode
1617,1493,DiscoverySelectors#selectPackage does not select packages from JAR
1627,578,Error while running junitPlatformTest Gradle task
1628,1305,Bug: AfterAllCallback extension hides container failure
1637,1954,Regression: discovery for @Nested test classes with same superclass no longer works
1660,1000,JUnit 5 RC2 source JARs downloaded from Maven contain each file twice
1663,387,Regression: Refer to `ConsoleLauncher` instead of `ConsoleRunner` in shell scripts
1676,942,Ensure that tags are trimmed
1681,684,"Close dynamic test streams, fixes #683"
1692,954,Support primitive array types as argument providers
1718,2051,Support multiple nesting levels with EventConditions#nestedContainer in Test Kit
1719,450,Impossible to select method by UID if method accepts array or primitive parameters
1721,1387,Unicode characters in Javadoc displayed as \u....
1736,1489,FilePosition.fromQuery() fails if any query parameter has a non-integer value
1742,923,Improperly configured @ParameterizedTest should fail instead of being disabled
1765,173,Parameterized tests: JavaSource doesn't contain method
1766,523,@BeforeEach & @AfterEach methods are not invoked using extensions registered at the test method level
1767,2122,Make ThrowableCollector.toTestExecutionResult() public
1789,1470,Rename file to match class name
1800,1688,Interrupted test cases cause random failures with thread reuse
1833,958,`gradle dependencyUpdates` fails with an exception
1843,667,Continue the tree structure across line breaks
1861,2113,ThrowableCollector.toTestExecutionResult() is package private
1870,1103,Disabled test classes should not be eagerly instantiated with PER_CLASS lifecycle mode
1872,1800,JUnit5 5.4.0 broke Android support
1873,284,JUnit5Plugin does not find test classes after 'gradle assemble'
1891,953,Cannot supply primitive array to a @ParameterizedTest
1893,729,Classes containing @TestTemplate methods are detected as Test classes
1903,396,MutableTestExecutionSummary fails to print actual exception type
1933,2410,StringUtils.nullSafeToString returns null if toString() returns null
1941,338,Always use status code on exit.
1954,969,"Cannot select parameterized interface default method by ""fully qualified method name"""
1965,206,Unable to extend an abstract class for my test classes
1966,2312,preDestroyTestInstance not able to get test instance from context if postProcessTestInstance failed
1970,1640,AssertLinesMatch NullPointerException during FastForward evaluation
1971,894,"Gradle ""clean build"" failure due to deprecated ""junit-jupiter-migration-support"""
1997,1343,JUnit Jupiter @Nested tests do not run when selecting enclosing class with Surefire
2013,586,Error with 5.0.0-M3 in IntelliJ
2028,1528,Fixing concurrent access issue in TreePrintingListener
2032,288,Surefire Plugin Fails
2042,1699,User Guide does not include all published APIs in Experimental/Deprecated sections
2047,1158,Сlass-level @Tag annotation is not inherited
2056,549,Selecting one method in JUnit 4 parameterized test has no effect - test method is not executed
2070,226,Repeatable annotations are not found on interfaces
2115,318,Assertions.assertEquals() should not check identity
2116,1836,Regression: Parameterized test written in Kotlin fails after upgrade to v5.4.0
2119,2430,PreDestroy callback is not invoked for enclosing instances of nested classes
2133,1436,Searching for nested test classes fails if class file format is invalid
2139,477,Non-standard method names are not supported for discovery selection
2154,1877,Missing opens directives in module descriptors
2155,359,Jupiter engine does not invoke 'after alls' if exception is thrown by 'before alls'
2156,1524,Inconsistent output from TreePrinter in ConsoleLauncher with parallel test execution
2160,2021,JUnit5-Vintage produces duplicate TestIdentifiers when running JUnit3 suites with duplicate test names
2163,1318,Dependency leak with maven-failsafe-plugin
2164,1748,TempDirectory breaks constructor parameter resolution
2166,565,Classpath scanner should not load JDK 9 module-info.class
2178,1460,AfterAllCallback should not be invoked if exception is thrown by constructor when using @TestInstance(PER_CLASS)
2187,1175,"ModuleUtils should scan ""current"" module layer"
2207,460,ColoredPrintingTestListener fails to print actual exception type
2222,749,"Invoke TestExecutionExceptionHandlers in reversed order, analogous to After*Callbacks"
2223,1837,Fix regression when creating human-readable test names
2237,1026,JupiterTestEngine attempts to resolve unique IDs that belong to other engines
2241,1533,Lifecycle.PER_CLASS ⇒ ExecutionMode.SAME_THREAD
2261,1289,Cannot access `package-list` in published Javadoc
2267,2299,Inherited @BeforeEach method executed on wrong instance for @Nested class
2270,677,Vintage stores multiple failures using MultipleFailuresError
2275,2149,Bad version range in Import-Package
2276,118,ClassNameFilter should not be used on @Nested test classes
2299,92,Test execution exceptions are not supplied to extensions
2303,266,Ensure JAR manifests are not regenerated unless there are code changes
2309,1179,Do not print summary for 'details=none' in Gradle plugin unless there are errors
2315,1600,ConsoleLauncher: VerboseTreePrintingListener - format specifier in exception message throws java.util.MissingFormatArgumentException
2325,1591,AssertAll#assertAll() is not threadsafe
2334,1084,Vintage engine does not apply PackageNameFilters consistently
2341,1712,JUnit BOM should not include scope declarations for managed dependencies
2343,495,@AfterEach methods are not executed bottom-up within a class hierarchy
2345,600,PackageUtils do not work with modules on Java 9
2370,207,Repeatable annotations are not discovered on superclasses
2376,591,Add new TestDescriptors to existing parents
2386,769,VintageTestEngine attempts to execute abstract test classes
2423,1285,Vintage 5.1.0-RC1 executes @BeforeClass before [runner:VintageBeforeClass$VintageTest] event
2428,417,Concurrency issues when adding/registering dynamic tests
2453,401,Classpath scanning fails for malformed class names
2458,1801,Test with @TempDir fails with NoSuchFileException if the tempDir is deleted inside the test
2459,285,Gradle plugin should not use JUnit 4 Engine when runJunit4 is false
